vertical_id,vertical_label,data_needed,companies_to_contact,actors_from_source_to_consumer,products_or_services,likely_problems,data_gaps,how_to_find_deltas,recommended_frequency
pharmacy,Pharmacies formal and informal,"Location GPS; formal or informal status; license status; drug categories; brand and SKU; price; stock and stockout; supplier source; aggregation point; sales method","Ministry of Health; Pharmacy Council; WHO; UNICEF; MSF; local pharma distributors; pharma manufacturers","Manufacturer or importer -> national wholesaler -> regional distributor -> pharmacy or drug vendor -> patient","Prescription drugs; OTC drugs; vitamins; diagnostics; consumables","Counterfeit risk; stockouts; compliance issues; cold chain gaps; price volatility","Informal outlet coverage gaps; real time stock visibility; batch and expiry traceability","Revisit weekly with photo GPS timestamp evidence; compare openings closures SKU changes supplier changes and price changes",weekly
mobile_money_kiosk,Mobile money kiosks,"Kiosk location; operator brand; float availability; cash in and cash out volume proxy; fees; service uptime; agent identity","MTN Mobile Money; Orange Money; telecom regulators; agent network managers; fintech aggregators","Telecom or fintech principal -> super agent -> field agent kiosk -> consumer","Cash in cash out; bill pay; transfers; airtime","Liquidity shortages; fraud; downtime; unsafe cash handling","Agent level transaction time series; true liquidity by hour; failed transaction logs","Track same agents daily; detect new or closed agents liquidity shifts fee changes downtime spikes",daily
fuel_station,Fuel stations,"Station location; fuel type availability; pump prices; queue proxy; stock status; delivery schedule; operator","TotalEnergies; OLA Energy; Tradex; Neptune Oil; national downstream regulator; depot operators","Refinery or importer -> depot -> transporter -> station operator -> driver or household","Petrol; diesel; lubricants; LPG where available","Stockouts; adulteration; theft; sudden price changes","Live stock levels; delivery delay attribution; nozzle level sales","Daily price and availability checks; detect stockout events price jumps and supplier route changes",daily
alcohol_outlet,Alcohol outlets bars retail informal,"Outlet location and type; license status; brands and SKU; prices; promotions; stock; supplier","Breweries and distillers; distributors; municipal licensing office; retail associations","Producer or importer -> distributor -> wholesaler -> outlet -> consumer","Beer; wine; spirits; RTD","Informal sales; tax leakage; counterfeit bottles; unstable supply","Informal channel map; outlet level sales velocity; reliable promo history","Weekly outlet panel and photo evidence; detect brand entry exit price and promo delta",weekly
retail_kiosk,Kiosks neighborhood retail,"Kiosk location; kiosk type; owner profile; product list; prices; stock depth; restock frequency","FMCG distributors; kiosk unions; telecoms; mobile money providers; wholesalers","Manufacturer -> wholesaler -> sub distributor -> kiosk -> consumer","Snacks; drinks; toiletries; airtime; basic household goods","Low working capital; frequent stockouts; fragmented supply","Inventory depth by day; supplier replacement logs; margin data","Same kiosk revisit cycles; detect SKU churn stockout pattern and supplier shifts",weekly
transport_station_hub,Transport stations and hubs,"Hub location; route map; traffic proxy by time band; vendor mix; service levels","City transport authority; transport unions; bus and taxi operators; route associations","Regulator -> operator and union -> drivers and conductors -> station vendors -> passengers","Transport services; ticketing; parcel services; adjacent retail","Congestion; informal fees; safety incidents; schedule volatility","Reliable passenger counts; route punctuality series; incident details","Compare route activity and vendor mix snapshots; detect route launches drops and traffic shifts",weekly
billboard,Billboards and OOH panels,"Billboard location; format and size; advertiser brand; campaign creative; start and end date; traffic proxy","JCDecaux where present; local OOH owners; media agencies; municipal permit office; major advertisers","Brand -> media agency -> billboard owner -> installer -> audience","Advertising inventory and campaigns","Permit non compliance; weak audience measurement; high creative churn","Verified impression estimates; campaign duration history; occupancy baseline","Photo monitor each panel; detect creative changes brand share of voice and occupancy delta",weekly
census_satellite_groundtruth,Census satellite and ground validation,"High resolution imagery; building footprints; POI extraction; ground photos; structure use classification","Maxar or Airbus partners; national statistics office; municipalities; OSM communities","Imagery provider -> analytics team -> field validators -> planning and commercial users","Population and built environment intelligence","Cloud cover; validation lag; geocoding mismatches","Frequent ground truth labels; up to date informal settlement boundaries","Run image differencing then field audits; detect new removed repurposed structures and density changes",biweekly
fuel_fleet,Fuel and fleet operations,"Depot and station map; route coverage; fleet operator list; fuel price and stock; consumption proxy","Fuel marketers; fleet operators; logistics firms; telematics providers; transport unions","Refinery or importer -> depot -> transporter -> station -> fleet operator -> end user","Fuel supply and fleet movement services","Leakage; route inefficiency; shortage risk; downtime","Route level fuel consumption; station level live stock; delay root cause data","Track price stock route and refill cadence; detect anomalies and supply disruption deltas",weekly
ngo_services,NGO service delivery,"Program location; service type; beneficiary counts; stock availability; partner map; delivery cadence","WHO; UNICEF; WFP; Red Cross; local NGOs and CBOs; donor programs","Donor -> NGO HQ -> local implementing partner -> field team -> beneficiary","Health food education WASH protection services","Funding volatility; duplicate coverage; weak last mile reporting","Outcome level data by zone; overlap maps; service quality trend","Compare service footprint snapshots; detect coverage expansions reductions and stock gaps",monthly
